rating_diff,player,piece,count
79,black,knight,14
79,black,queen,39
79,black,king,0
20,white,pawn,16
20,white,rook,102
20,white,bishop,57
20,white,knight,53
20,white,queen,111
20,white,king,1
20,black,pawn,16
20,black,rook,70
20,black,bishop,40
20,black,knight,33
20,black,queen,96
20,black,king,0
45,white,pawn,9
45,white,rook,78
45,white,bishop,41
45,white,knight,49
45,white,queen,50
45,white,king,1
45,black,pawn,10
45,black,rook,74
45,black,bishop,32
45,black,knight,51
45,black,queen,66
45,black,king,2
40,white,pawn,8
40,white,rook,67
40,white,bishop,33
40,white,knight,34
40,white,queen,81
40,white,king,2
40,black,pawn,6
40,black,rook,73
40,black,bishop,24
40,black,knight,18
40,black,queen,58
40,black,king,0
36,white,pawn,17
36,white,rook,91
36,white,bishop,51
36,white,knight,82
36,white,queen,119
36,white,king,2
36,black,pawn,16
36,black,rook,117
36,black,bishop,44
36,black,knight,64
36,black,queen,142
36,black,king,0
99,white,pawn,3
99,white,rook,30
99,white,bishop,17
99,white,knight,6
99,white,queen,33
99,white,king,0
99,black,pawn,1
99,black,rook,15
99,black,bishop,21
99,black,knight,11
99,black,queen,33
99,black,king,0
23,white,pawn,18
23,white,rook,59
23,white,bishop,28
23,white,knight,27
23,white,queen,68
23,white,king,1
23,black,pawn,13
23,black,rook,51
23,black,bishop,26
23,black,knight,26
23,black,queen,59
23,black,king,1
30,white,pawn,8
30,white,rook,55
30,white,bishop,36
30,white,knight,44
30,white,queen,106
30,white,king,0
30,black,pawn,11
30,black,rook,49
30,black,bishop,31
30,black,knight,27
30,black,queen,141
30,black,king,0
1,white,pawn,24
1,white,rook,112
1,white,bishop,42
1,white,knight,67
1,white,queen,143
1,white,king,3
1,black,pawn,20
1,black,rook,78
1,black,bishop,50
1,black,knight,55
1,black,queen,147
1,black,king,1
72,white,pawn,4
72,white,rook,54
72,white,bishop,24
72,white,knight,17
72,white,queen,53
72,white,king,0
72,black,pawn,7
72,black,rook,75
72,black,bishop,22
72,black,knight,34
72,black,queen,57
72,black,king,0
68,white,pawn,6
68,white,rook,49
68,white,bishop,37
68,white,knight,40
68,white,queen,78
68,white,king,0
68,black,pawn,10
68,black,rook,65
68,black,bishop,27
68,black,knight,24
68,black,queen,58
68,black,king,0
24,white,pawn,13
24,white,rook,90
24,white,bishop,47
24,white,knight,29
24,white,queen,82
24,white,king,1
24,black,pawn,13
24,black,rook,48
24,black,bishop,36
24,black,knight,30
24,black,queen,69
24,black,king,1
7,white,pawn,15
7,white,rook,72
7,white,bishop,37
7,white,knight,53
7,white,queen,102
7,white,king,0
7,black,pawn,16
7,black,rook,62
7,black,bishop,35
7,black,knight,50
7,black,queen,149
7,black,king,0
26,white,pawn,18
26,white,rook,90
26,white,bishop,41
26,white,knight,49
26,white,queen,97
26,white,king,1
26,black,pawn,19
26,black,rook,90
26,black,bishop,37
26,black,knight,41
26,black,queen,90
26,black,king,0
16,white,pawn,27
16,white,rook,116
16,white,bishop,50
16,white,knight,46
16,white,queen,109
16,white,king,0
16,black,pawn,18
16,black,rook,76
16,black,bishop,56
16,black,knight,31
16,black,queen,197
16,black,king,0
12,white,pawn,25
12,white,rook,98
12,white,bishop,58
12,white,knight,47
12,white,queen,129
12,white,king,2
12,black,pawn,18
12,black,rook,81
12,black,bishop,39
12,black,knight,25
12,black,queen,97
12,black,king,0
337,white,pawn,1
337,white,rook,19
337,white,bishop,9
337,white,knight,5
337,white,queen,8
337,white,king,0
337,black,pawn,0
337,black,rook,23
337,black,bishop,6
337,black,knight,4
337,black,queen,14
337,black,king,0
173,white,pawn,7
173,white,rook,34
173,white,bishop,18
173,white,knight,24
173,white,queen,33
173,white,king,0
173,black,pawn,4
173,black,rook,27
173,black,bishop,13
173,black,knight,12
173,black,queen,46
173,black,king,0
56,white,pawn,22
56,white,rook,77
56,white,bishop,37
56,white,knight,45
56,white,queen,58
56,white,king,0
56,black,pawn,23
56,black,rook,48
56,black,bishop,29
56,black,knight,27
56,black,queen,65
56,black,king,0
819,white,pawn,0
819,white,rook,1
819,white,bishop,0
819,white,knight,0
819,white,queen,0
819,white,king,0
819,black,pawn,0
819,black,rook,0
819,black,bishop,0
819,black,knight,1
819,black,queen,4
819,black,king,0
142,white,pawn,4
142,white,rook,10
142,white,bishop,18
142,white,knight,30
142,white,queen,35
142,white,king,0
142,black,pawn,11
142,black,rook,32
142,black,bishop,25
142,black,knight,16
142,black,queen,34
142,black,king,0
22,white,pawn,28
22,white,rook,97
22,white,bishop,48
22,white,knight,58
22,white,queen,136
22,white,king,0
22,black,pawn,21
22,black,rook,83
22,black,bishop,51
22,black,knight,46
22,black,queen,178
22,black,king,0
195,white,pawn,4
195,white,rook,16
195,white,bishop,12
195,white,knight,10
195,white,queen,29
195,white,king,1
195,black,pawn,4
195,black,rook,22
195,black,bishop,7
195,black,knight,17
195,black,queen,28
195,black,king,0
521,white,pawn,1
521,white,rook,6
521,white,bishop,0
521,white,knight,0
521,white,queen,3
521,white,king,0
521,black,pawn,0
521,black,rook,5
521,black,bishop,9
521,black,knight,2
521,black,queen,5
521,black,king,0
517,white,pawn,0
517,white,rook,2
517,white,bishop,2
517,white,knight,9
517,white,queen,5
517,white,king,0
517,black,pawn,0
517,black,rook,12
517,black,bishop,4
517,black,knight,0
517,black,queen,6
517,black,king,0
112,white,pawn,8
112,white,rook,57
112,white,bishop,29
112,white,knight,35
112,white,queen,68
112,white,king,1
112,black,pawn,3
112,black,rook,39
112,black,bishop,22
112,black,knight,17
112,black,queen,66
112,black,king,0
205,white,pawn,6
205,white,rook,22
205,white,bishop,11
205,white,knight,7
205,white,queen,24
205,white,king,0
205,black,pawn,21
205,black,rook,38
205,black,bishop,17
205,black,knight,10
205,black,queen,22
205,black,king,0
69,white,pawn,22
69,white,rook,39
69,white,bishop,41
69,white,knight,38
69,white,queen,69
69,white,king,0
69,black,pawn,9
69,black,rook,55
69,black,bishop,27
69,black,knight,23
69,black,queen,83
69,black,king,1
484,white,pawn,4
484,white,rook,11
484,white,bishop,13
484,white,knight,3
484,white,queen,14
484,white,king,1
484,black,pawn,4
484,black,rook,3
484,black,bishop,17
484,black,knight,2
484,black,queen,17
484,black,king,0
166,white,pawn,8
166,white,rook,43
166,white,bishop,15
166,white,knight,21
166,white,queen,50
166,white,king,0
166,black,pawn,8
166,black,rook,44
166,black,bishop,20
166,black,knight,12
166,black,queen,67
166,black,king,0
260,white,pawn,5
260,white,rook,22
260,white,bishop,15
